現像,현상
原則,원칙
見地,관점
現地,현지
限定,한정
原点,원점
原典,원전
原爆,원폭
原文,원문
厳密,엄격
賢明,현명
倹約,절약
原油,원유
兼用,겸용
権力,권력
言論,언론
故～,고~
語彙,어휘
恋する,사랑하다
甲,갑
～光,~빛
好意,호의
行為,행위
合意,합의
工学,공학
抗議,항의
合議,합의
皇居,황궁
好況,호황
鉱業,광업
興業,흥업
高原,고원
交互,교대
煌々と,반짝반짝
考古学,고고학
工作,공작
耕作,경작
鉱山,광산
講習,강습
口述,구술
控除,공제
交渉,협상
高尚,고상
向上,향상
行進,행진
香辛料,향신료
降水,강수
洪水,홍수
合成,합성
公然,공개적으로
抗争,항쟁
構想,구상
後退,후퇴
光沢,광택
公団,공단
好調,호조
口頭,구두
講読,강독
購読,구독
購入,구매
公認,공인
光熱費,광열비
購買,구매
好評,호평
交付,교부
公募,공모
巧妙,영리한
公用,공용
小売,소매
効率,효율
公立,공립
護衛,호위
コーナー,코너
小柄,몸집이 작은
小切手,수표
国産,국산
国定,국정
告白,고백
国防,국방
国有,국유
極楽,극락
国連,유엔
焦げ茶,타는 차
語源,어원
心地,기분
心得,마음가짐
心掛け,유혹
心掛ける,유의하다
志,시
志す,뜻
心強い,든든하다
心細い,심한
試み,시도
試みる,시도하다
快い,즐거운
誤差,오차
ございます (かん),있습니다 (칸)
孤児,고아
こじれる,꼬인
こす (みずを～),문지름(미즈를~)
梢,梢
個性,개성
戸籍,호적
古代,고대
こたつ,코타츠
こだわる,고집하다
誇張,과장
こつ (をつかむ),걸레 (잡는다)
滑稽,미끄럼
国交,국교
骨董品,골동품
固定,고정
事柄,일
孤独,외로움
ことごとく,모든 것
言付け,말하기
殊に,특히
粉々,부서진
好ましい,선호
碁盤,바둑판
個別,개별
ごまかす,속임수
細やか,섬세한
コマーシャル,상업
込める,담을 수 있다
コメント,코멘트
籠もる,농장
固有,고유
暦,달력
凝らす,응집하다
ごらんなさい (かん),미안해 (칸)
孤立,고립된
懲りる,잡다
凝る,응하다
根気,근기
根拠,근거
混血,혼혈
コンタクト (レンズ),접점(렌즈)
昆虫,곤충
根底,근저
混同,혼동
コントラスト,대비
コントロール,통제
コンパス,나침반
根本,근본
財,상품
再会,재회
災害,재해
細菌,박테리아
細工,세공
採掘,채굴
サイクル,사이클
採決,채결
再建,재건
再現,재현
財源,재원
在庫,재고
採算,채산
サイズ,사이즈
再生,재생
財政,재정
最善,최선
採択,채택
栽培,재배
再発,재발
細胞,세포
採用,채용
遮る,차단하다
さえずる,심지어
冴える,선물하다
竿,장대
栄える,번영하다
差額,차액
杯,잔
逆立ち,반전
さきに (いぜん),사키니 (이젠)
詐欺,사기
削減,감소
錯誤,착오
作戦,작전
叫び,외침
捧げる,바치다
差し掛かる,연결하다
指図,오더
差し出す,내보내다
差し支える,지탱하다
授ける,준다
摩する,닦다
さぞ (さぞや。さぞかし),사조 (사조야. 사조카시)
定まる,정하다
定める,결정하다
座談会,좌담회
雑,잡다
雑貨,잡화
殺人,살인
察する,조사하다
雑談,잡담
さっと,빨리
さっぱりする,상쾌하다
悟る,깨달음
最中,중간
座標,좌표
さほど,그렇게
サボる,사보
様,님
寒気,감기
侍,사무라이
さも,사모
作用,행동
さらう (こどもを～),사라우 (어린이를~)
障る,장애
酸,산
山岳,산악
参議院,참의원
産休,산휴
サンキュー,산큐
残金,잔금
産後,산후
残酷,잔인
産出,생산
参照,참조
参上,참상
残高,잔액
サンタクロース,산타 클로스
桟橋,부두
賛美,찬양
山腹,산복
産婦人科,산부인과
産物,산물
山脈,산맥
仕上がり,마무리
仕上,마무리
仕上げる,마무리
飼育,사육
強いて,강하게
シート,시트
ジーパン,지판
仕入れる,구매하다
強いる,강하다
潮,조수
歯科,치과
自我,자아
自覚,자각
仕掛,장치
仕掛ける,장치
しかしながら,그러나
色彩,색채
式場,식장
しきたり,흔들림
事業,사업
軽蔑,경멸
経歴,경력
経路,통로
けがらわしい,부상
劇団,극단
激励,격려
ゲスト,게스트
獣,짐승
決,결
決意,결의
結核,결핵
決議,결의
結合,조인
決算,결산
月謝,월사
決勝,결승
結晶,크리스탈
結成,결성
結束,결속
げっそり,부드럽게
決断,결정
月賦,월부
欠乏,부족
蹴飛ばす,걷어차다
けなす,케나스
煙たい,연기하고 싶다
煙る,연기
獣,짐승
家来,집
下痢,설사
権威,권위
兼業,겸업
原形,원형
原型,원형
権限,권한
現行,현재
健在,건강한
原作,원작
検事,검사
原子,원자
元首,원목
原書,원서
懸賞,경품
健全,건강
元素,원소
同調,동조
到底,도저히
動的,동적
尊い,소중한
貴い,귀한
同等,동등
堂々,당당한
尊ぶ,존중하다
どうにか,어떻게 든
投入,투입
導入,소개
当人,당인
同封,동봉
逃亡,도망
冬眠,동면
同盟,동맹
どうやら,분명히
動力,동력
登録,등록
討論,토론
遠ざかる,멀리
遠回り,원거리
トーン,톤
とかく,어쨌든
とがめる,벗어나다
時折,가끔
