〜 (まる) ごと,~ (마루) 당
(かさを～) さす,(부피를 ~)
〜(日本) 式,~(일본) 식
～位,~위
～いち (にほんいち),~이치 (니혼이치)
～園,～원
～おしまい (おわり),～오시마이(끝)
～日,~일
～下,~아래
～化,~화
～科,~과
～歌,～노래
～画,~화
～外,~외
～難い,~ 어렵다
～がち,~이치
～刊,~간
～間,~간
～巻,～권
～館,～관
～感,~감
～期,~기
～器,~그릇
～機,~기
～気味,~기미
～教,～교
～行,～행
～業,～업
～きる,～키루
～切れ,～절단
～口,～입
～家,~집
～形,~형
～系,～계
～圏,~권
～校,～교
～港,~항
～号,~호
～国,～국가
～毎,~매
～山,～산
～産,～산
～史,~사
～紙,～종이
～寺,~ 절
～時間目,~시간째
～室,～실
～日,~일
～車,～차
～者,~자
～社,～사
～手,～손
～酒,～술
～集,～집
～所,～소
～所,～소
～女,～여
～省,～성
～商,～상
～勝,～승
～条,~조
～場,～장
～畳,～다다미
～色,~색
～過ぎる,~지나간다
～済,～제
～席,～석
～船,～배
～戦,～전
～前,~전
～沿い,~ 따라
～艘,～종
～足,～발
～だらけ,~ 투성이
～団,～단
～着,～착
～庁,～청
～兆,~조
～長,~길이
～帳,~장
～丁目,～초메
～通,~통
～遣い,～보내다
～付,~ 첨부
～続く,~ 계속
～辛い,~매운
～滴,~방울
～点,～점
～頭,~머리
～等,~등
～島,～섬
～道,～길
～通り,～거리
～ところ,~곳
～内,~내
～年生,～학년
～泊,～박
～発,~발
～番目,~번째
～費,~비
～病,~병
～部,~부
～風,～바람
～振り,～振り
～遍,～遍
～弁,～밸브
～歩,～걸음
～ぽい,~포이
～ほう (ひかく),~호 (히카쿠)
～みたい,~같은
～向け,~용
～名,～이름
～もち,～떡
～問,～문
～夜,~밤
～等,~등
～流,～류
～料,～료
～領,～령
～力,～힘
～論,~론
～羽,～깃
相変わらず,변함없이
アイデア; アイディア,아이디어; 아이디어
あいまい,모호한
扇ぐ,부채
青白い,블루 화이트
呆れる,어리석다
アクセント,악센트
あくび,하품
飽くまで,지루할 때까지
明くる～,밝다 ~
明け方,새벽
憧れる,동경하다
朝寝坊,아침 잠자는
足跡,발자국
足元,발밑
味わう,맛보자
預かる,맡기다
温まる,따뜻한
当たり前,당연한
あちらこちら,여기 여기
厚かましい,두꺼운
圧縮,압축
宛名,주소
当てはまる,적용됨
当てはめる,적용
暴れる,날뛰다
脂,지방
あぶる,아부루
あふれる,넘치다
雨戸,우도
甘やかす,달콤한
余る,남다
編み物,뜨개질
あみもの,아미모노
編む,뜨개질
危うい,위험한
怪しい,수상한
荒い,거친
粗い,거친
粗筋,거친 근육
争う,싸우다
改めて,다시
改める,수정하다
あらわす,보이는
有難い,고맙다
あれこれ,이거
荒れる,거칠다
慌ただしい,당황하다
慌てる,당황하다
安易,안이
案外,의외
アンテナ,안테나
言い出す,말하기
言い付ける,말하다
意義,의미
生き生き,생생한
いきなり,갑자기
幾～,수~
育児,육아
幾分,다소
生け花,꽃꽂이
以後,이후
イコール,이콜
以降,이후
勇ましい,용감한
衣食住,의식주
いちいち,일이치
一応,일단
一段と,한층 더
一流,일류
一昨日,어제
一昨年,재작년
一斉,일제
一旦,일단
一定,일정
行っていらっしゃい,가자.
いってきます,갈거야.
いってまいります,가자.
行ってらっしゃい,가자.
移転,이전
井戸,우물
緯度,위도
威張る,위장하다
嫌がる,싫어하는
いよいよ,드디어
煎る,볶다
炒る,볶다
入れ物,입상
インキ,잉크
引力,인력
ウーマン,우먼
ウール,울
ウエートレス,웨이트리스
植木,식물
飢える,굶주림
浮ぶ,떠다니는
浮かべる,떠다니는
浮く,뜨다
承る,받다
受取,수령
受け持つ,받다
薄暗い,희미한
薄める,엷게 하다
打合せ,회의
打ち消す,극복하다
写る,찍다
うどん,우동
うなずく,장난 꾸러기
有無,유무
埋める,채우다
敬う,존경하다
裏返す,뒤집다
裏口,뒷문
占う,점유하다
恨み,원한
恨む,원망하다
羨む,부러움
売上,판매
売り上げ,판매
売り切れ,매진
売り切れる,매진
売行き,판매
売れ行き,판매
うろうろ,우로
上～,위 ~
運河,운하
うんと,그래
英文,영문
英和,영화
ええと,음
液体,액체
エチケット,에티켓
絵の具,페인트
エプロン,앞치마
偉い,좋은
宴会,연회
園芸,원예
演劇,연극
円周,원주
遠足,소풍
延長,연장
煙突,굴뚝
オーケストラ,오케스트라
オートメーション,자동화
追いかける,쫓다
追い越す,추월하다
オイル,기름
応援,응원
王女,공주
応ずる,응하다
応接,응접
応対,응대
往復,왕복
欧米,서양
応用,응용
おおざっぱ,오자빠
大通り,대로
大凡,대범
お帰り,귀가
おかけください,보내주세요.
おかげさまで,덕분에
おかず,반찬
おかまいなく,어리석은
拝む,숭배하다
お代わり,대체
補う,보충하다
お気の毒に,마음의 독에
屋外,옥외
送り仮名,보내는 가명
お元気で,안녕하세요
怠る,게으른
押さえる,누르다
お先に,앞으로
伯父,백부
叔父,삼촌
惜しい,아쉬운
伯父さん,백부씨
小父さん,아버지
叔父さん,삼촌
お邪魔します,죄송합니다.
お世話になりました,신세를졌습니다.
お大事に,소중히
落着く,침착하다
お出掛け,외출
お手伝いさん,도움
脅かす,위협하다
落し物,낙하물
驚かす,놀라다
お願いします,제발
各々,각각
伯母,이모
叔母,이모
小母さん,작은 어머니
おはよう,좋은 아침
お参り,참배
お待たせしました,기다리게했습니다.
お待ちください,기다려주세요.
おまちどおさま,오마치도 오사마
おめでたい,축하해
思い掛けない,생각나지 않는다
思い切り,마음껏
思い込む,생각하다
思いっ切り,마음껏
思いっきり,마음껏
重たい,무거운
お休み,휴가
おやつ,간식
親指,엄지손가락
オルガン,오르간
御～,어~
恩恵,혜택
温室,온실
温泉,온천
温帯,온대
御中,미나카
女の人,여인
蚊,모기
カーブ,커브
貝,조개
外～,밖~
開会,개회
会館,회관
改札,개찰
解散,해산
海水浴,해수욕
回数,횟수
回数券,회수권
改正,개정
快晴,쾌청
解説,해설
改造,개조
開通,개통
回転,회전
解答,답
回答,답변
外部,외부
解放,해방
開放,개방
海洋,해양
概論,개론
却って,거절
家屋,주택
係わる,관련
書留,등기
書取,쓰기
垣根,울타리
限り,한
各～,각~
架空,가상
各自,각자
拡充,확충
学術,학술
各地,각지
拡張,확장
角度,각도
学年,학년
学部,학부
格別,각별
確率,확률
学力,학력
掛け算,곱셈
かけざん,카케잔
可決,통과
火口,화구
下降,하강
重ねる,겹치다
飾り,장식
火山,화산
かしこまりました,어리석은
貸し出し,대출
過失,과실
果実,열매
貸間,임대
貸家,대여
箇所,개소
かしょ,카쇼
過剰,과잉
かじる,괴롭히다
課税,과세
カセット,카세트
下線,밑줄
加速,가속
加速度,가속도
かたかな,따뜻한
かたづく,달리다
塊,덩어리
固まる,굳다
片道,편도
傾く,기울다
片寄る,한쪽
学科,학과
学会,학회
楽器,악기
学級,학급
担ぐ,담다
括弧,괄호
活字,활자
勝手に,마음대로
活躍,활약
活力,활력
課程,과정
仮名,가나
仮名遣い,가나 송
鐘,종
加熱,난방
兼ねる,겸하는
カバー,커버
過半数,과반수
かび (～がはえる),곰팡이
被せる,씌우다
釜,솥
構いません,상관없다
紙屑,종이 쓰레기
神様,하나님
剃刀,면도
ガム,껌
貨物,화물
歌謡,가요
殻,껍질
カラー,칼라
からかう,괴롭히다
空っぽ,빈
かるた,카루타
枯れる,시들다
カロリー,칼로리
可愛がる,귀엽다
乾かす,말리다
為替,환율
瓦,기와
間隔,간격
換気,환기
感激,감격
関西,간사이
元日,설날
鑑賞,감상
感ずる,느끼다
間接,간접
乾燥,건조
感想,감상
観測,관측
寒帯,한대
勘違い,착각
官庁,관청
缶詰,통조림
乾電池,건전지
関東,관동
観念,관념
乾杯,건배
看板,간판
看病,간병
冠,왕관
漢和,한화
気圧,기압
着替え,갈아입기
着替える,갈아입다
機関車,기관차
飢饉,기근
器具,기구
期限,마감
記号,기호
刻む,새기다
儀式,의식
基準,기준
規準,표준
起床,기상
着せる,입는다
基礎,기초
基地,기지
きっかけ,계기
切っ掛け,자르다
ぎっしり,힘들다
基盤,기초
客席,객석
客間,고객 간
ギャング,갱
キャンパス,캠퍼스
休業,휴업
休講,휴강
休息,휴식
給与,급여
休養,휴식
清い,깨끗한
強化,강화
境界,경계
共産～,공산~
行事,행사
恐縮,공감
教養,교양
行列,행렬
漁業,어업
曲線,커브
規律,규율
斬る,베다
気を付ける,조심하다
琴,코토
金魚,금붕어
クーラー,쿨러
区域,지역
空～,하늘~
偶数,짝수
空想,공상
空中,공중
釘,못
区切る,구분
櫛,빗
くしゃみ,재채기
苦情,불만
苦心,고심
屑,쓰레기
崩す,무너뜨리다
薬指,약지
崩れる,무너지는
砕く,부서지다
砕ける,부서지다
くたびれる,짜다
くだらない,어리석은
下る,내리다
唇,입술
口紅,립스틱
くっつく,달라붙다
くっつける,붙이다
くどい,어리석은
句読点,구두점
配る,배포하다
工夫,고안
区分,구분
組合せ,조합
組み立てる,조립
悔やむ,회개하다
クリーニング,청소
くるむ,쿠루무
くれぐれも,어쨌든
郡,카운티
稽古,연습
敬語,존경
蛍光灯,형광등
形式,형식
継続,계속
毛糸,털실
経度,경도
系統,계통
芸能,연예
競馬,경마
警備,경비
形容詞,형용사
形容動詞,형용동사
外科,수술
毛皮,모피
激増,격증
下車,하차
下旬,하순
下水,하수
削る,깎다
桁,자릿수
下駄,나막신
血圧,혈압
月給,월급
傑作,걸작
月末,월말
気配,기색
下品,하품
下品(な),하품(나)
煙い,연기
険しい,어려운
現～,현~
見学,견학
謙虚,겸손
原稿,원고
原産,원산
原始,원시
研修,교육
厳重,엄중
謙遜,겸손
県庁,현청
限度,한도
現に,실제로
顕微鏡,현미경
懸命,열심히
原理,원리
原料,원료
碁,碁
小～,소~
コース,코스
コーラス,코러스
恋しい,그리운
高～,고~
工員,공원
強引,억지로
公害,공해
高級,럭셔리
公共,공공
工芸,공예
孝行,孝行
交差,교차
講師,강사
工事,공사
公式,공식
口実,구실
こうして,이렇게
校舎,학교 건물
公衆,공중
香水,향수
公正,공정하다
功績,업적
光線,광선
高層,고층
構造,구조
交替,교체
交代,교체
耕地,경작지
交通機関,교통
校庭,교정
肯定,긍정
高度,고도
高等,고등
合同,합동
高等学校,고등학교
公表,공표
鉱物,미네랄
公務,공무
項目,품목
紅葉,단풍
こうよう もみじ,이런 모미지
合理,합리적인
交流,교류
合流,합류
効力,효력
焦がす,태우다
国王,국왕
こくせき,코쿠세키
国立,국립
ご苦労様,고생
焦げる,태우다
凍える,얼음
心当たり,마음
心得る,마음을 얻다
腰掛け,발판
腰掛,발판
腰掛ける,발판
五十音,오십음
こしらえる,문질러
擦る,문지르다
個体,개인
ごちそうさま,잔치
こちらこそ,여기야말로
小遣い,용돈
コック,수탉
こっそり,몰래
古典,고전
言付ける,말하다
言葉遣い,말투
こないだ,오지마
御無沙汰,어무사태
ゴム,고무
御免,어면
ごめんください,미안해.
小指,새끼 손가락
堪える,참다
娯楽,엔터테인먼트
御覧,보기
コレクション,컬렉션
転がす,굴리다
転がる,구르다
紺,감색
今～,지금~
コンクール,콩쿨
コンクリート,콘크리트
混合,혼합
コンセント,콘센트
献立,식단
こんばんは,안녕하세요
サークル,서클
再～,재~
最～,최~
在学,재학
再三,재삼
祭日,휴일
催促,촉구
採点,채점
災難,재난
裁縫,재봉
材木,목재
サイレン,사이렌
逆さ,거꾸로
逆様,거꾸로
捜す,찾다
遡る,거슬러 올라가다
酒場,술집
一昨昨日,어제 어제
先程,아까
索引,색인
作者,작성자
削除,삭제
作成,만들기
作製,제작
探る,탐구하다
囁く,속삭이는
刺さる,찌르다
匙,장인
座敷,다다미
差し支え,지지
差し引き,공제
刺身,사시미
刺す,찌르다
流石,유석
撮影,촬영
雑音,잡음
さっさと,빨리
早速,조속히
錆,녹
錆びる,녹슬다
座布団,방석
妨げる,방해하다
さようなら,안녕
サラリーマン,샐러리맨
騒がしい,시끄러운
さわやか,상쾌한
三角,삼각
算数,산수
酸性,산성
産地,산지
サンプル,샘플
山林,산림
シーズン,시즌
シーツ,시트
仕上がる,마무리
明明後日,명명 후일
寺院,사원
しいんと (する),좋다 (한다)
自衛,자위
塩辛,젓갈
塩辛い,짠
司会,사회
しかく しかくい,어쩌면
四角い,사각형
仕方がない,어쩔 수 없다
時間割,시간대
四季,사계절
敷地,부지
敷く,깔다
茂る,덤불
持参,지참
磁石,자석
四捨五入,반올림
始終,시종
自習,자습
静まる,진정
姿勢,자세
自然科学,자연과학
時速,시속
子孫,후손
死体,시체
下書き,초안
自宅,집
下町,시모마치
自治,자치
室～,실~
実感,실감
湿気,수분
しつこい,끈끈한
実習,실습
実績,업적
湿度,습도
執筆,쓰기
実物,실물
しっぽ,꼬리
実用,실용
実力,실력
実例,실례
しつれいしました (かん),끈적 끈적한 (칸)
失恋,실연
指定,명세
私鉄,사철
児童,아동
縛る,묶다
地盤,지반
しびれる,마비하다
紙幣,지폐
しぼむ,시보무
萎む,짜다
絞る,짜다
縞,줄무늬
地味,수수한
しみじみ,시미지미
氏名,성명
締切,마감
締め切り,마감
締め切る,마감하다
しめた (かん),시메타 (칸)
しめる,멈추다
地面,땅
ジャーナリスト,기자
社会科学,사회과학
しゃがむ,쪼그리다
蛇口,수도꼭지
弱点,약점
車庫,차고
車掌,차장
写生,사생
社説,사설
しゃっくり,딸꾹질
シャッター,셔터
しゃぶる,빠는
車輪,바퀴
洒落,세련된
じゃんけん,쟈켄
重～,중~
集会,모임
住居,주거
集金,집금
集合,집합
習字,글씨
修繕,수선
重体,중체
じゅうたん (カーペット),주탄 (카펫)
終点,종점
重点,중점
就任,취임
周辺,주변
重役,중역
終了,종료
重量,무게
重力,중력
熟語,숙어
祝日,공휴일
縮小,축소
受験,수험
主語,주어
主人,주인
出勤,출근
述語,술어
出張,출장
寿命,수명
主役,주역
受話器,수화기
循環,순환
巡査,순찰
順々,순차적으로
順序,순서
純情,순정
純粋,순수
初～,첫~
諸～,제~
女～,여자~
省～,성~
消化,소화
小学生,초등학생
しょうがない,어리석은
将棋,장기
蒸気,증기
定規,눈금자
上級,고급
商業,상업
消極的,소극적인
賞金,상금
上下,상하
障子,장자
商社,무역 회사
乗車,승차
上旬,상순
小数,소수
生ずる,생성하다
商店,상점
焦点,초점
消毒,소독
