作法,작법
様々,다양한
冷ます,차가운
覚ます,깨우다
冷める,식히다
覚める,깨우다
左右,좌우
皿,접시
更に,또한
去る,떠나다
猿,원숭이
騒ぎ,소란
参加,참여
参考,참고
賛成,찬성
酸性,산성
酸素,산소
氏,씨
詩,시
幸せ,행복
ジーンズ,청바지
ジェット機,제트기
四角,사각형
直に,직접
しかも,게다가
四季,사계절
直,직접
時期,시기
支給,지급
至急,시급한
しきりに,자꾸만
刺激,자극
資源,자원
事件,사건
時刻,시간
自殺,자살
事実,사실
支出,지출
事情,사정
詩人,시인
自身,자신
沈む,가라앉다
自然,자연
思想,사상
舌,혀
次第,나름
従う,순종하다
したがって,따라서
親しい,친한
質,품질
失業,실업
湿気,수분
実験,실험
実現,실현
実行,실행
実際,실제
実施,구현
湿度,습도
じっと,가만히
実に,사실
実は,사실은
失望,실망
実力,실력
支店,지점
指導,지도
自動,자동
児童,아동
品,품목
支配,지배
芝居,연극
しばしば,자주
芝生,잔디
支払,지불
支払う,지불하다
死亡,사망
資本,자본
姉妹,자매
しまった (かん),버렸다 (칸)
自慢,자랑
地味,수수한
示す,표시
占める,차지하다
湿る,습기
下,아래
霜,서리
借金,부채
しゃべる,말하다
週,주
州,주
銃,총
周囲,주변
収穫,수확
宗教,종교
重視,중시
就職,취직
ジュース,주스
修正,수정
重体,중체
渋滞,혼잡
重大,심각한
住宅,주택
集団,집단
集中,집중
収入,수입
住民,주민
重要,중요
修理,수리
主義,원리
宿泊,숙박
手術,수술
首相,총리
手段,수단
主張,주장
出場,출장
出身,출신
出版,출판
首都,수도
主婦,주부
主要,주요
需要,수요
種類,종류
順,순
瞬間,순간
順調,순조롭다
順番,순서
使用,사용
小,작은
章,장
賞,수상
上,상단
障害,장애
奨学金,장학금
乗客,승객
上京,상경
状況,상황
条件,조건
正午,정오
正直,정직
常識,상식
少女,소녀
少々,조금
症状,증상
生じる,발생
状態,상태
上達,향상
冗談,농담
上等,상등
衝突,충돌
商人,상인
承認,승인
少年,소년
商売,장사
消費,소비
商品,상품
賞品,상품
消防,소방
情報,정보
証明,증명
省略,생략
女王,여왕
職,직업
職業,직업
食卓,식탁
食品,음식
植物,식물
食物,음식
食欲,식욕
食料,식량
食糧,음식
書斎,서재
女子,여자
助手,조수
徐々に,서서히
署名,서명
書物,책
女優,여배우
処理,처리
書類,서류
知らせ,알림
尻,엉덩이
知合い,지인
印,표시
城,성
進学,진학
神経,신경
真剣,심각한
信仰,믿음
信号,신호
人工,인공
深刻,심각한
診察,진찰
人種,인종
信じる,믿다
人生,인생
親戚,친척
新鮮,신선한
心臓,심장
身体,몸
身長,신장
慎重,조심
審判,심판
人物,인물
進歩,진보
親友,가장 친한 친구
信用,신용
信頼,신뢰
心理,심리
人類,인류
巣,둥지
酢,식초
図,그림
水準,수준
推薦,추천
スイッチ,스위치
睡眠,수면
数,수
数字,숫자
スープ,수프
末,끝
姿,모습
スキー,스키
救う,구하다
すくなくとも,어쨌든
優れる,뛰어난
スケート,스케이트
スケジュール,일정
少しも,조금도
過ごす,보내다
筋,근육
進める,진행하다
勧める,추천하다
スター,별
スタイル,스타일
スタンド,스탠드
頭痛,두통
ずっと,계속
すっぱい,깔끔한
すてき,좋은
既に,이미
すなわち,즉
スピーチ,연설
全て,모두
済ませる,끝내다
角,뿔
墨,먹다
すみません (かん),죄송합니다 (칸)
澄む,맑다
清む,깨끗한
刷る,인쇄하다
為る,위
鋭い,날카로운
すれ違う,엇갈리다
ずれる,어긋남
正,긍정적인
生,원시
性,성
姓,성
所為,소위
税,세금
性格,성격
正確,정확한
世紀,세기
請求,청구
税金,세금
清潔,깨끗한
制限,제한
成功,성공
正式,공식
性質,성격
精神,정신
成人,성인
精々,정신
成績,성적
製造,제조
贅沢,사치
成長,성장
生長,성장
制度,제도
青年,청소년
生年月日,생년월일
製品,제품
政府,정부
生物,생물
生命,생명
整理,정리
咳,기침
石炭,석탄
責任,책임
石油,석유
世間,세상
説,설
積極的,적극적인
設計,디자인
絶対,절대
セット,세트
愛,사랑
相変わらず,변함없이
愛情,애정
合図,신호
アイスクリーム,아이스크림
愛する,사랑하다
相手,상대
あいにく,불행히도
遭う,만나다
アウト,아웃
明かり,불빛
空き,무료
明らか,분명
諦める,포기하다
飽きる,지루하다
握手,악수
悪魔,악마
明ける,밝다
揚げる,튀기다
挙げる,언급하다
預かる,맡기다
預ける,맡기다
汗,땀
与える,주는
温かい,따뜻한
暖まる,따뜻한
温まる,따뜻한
暖める,데우다
温める,따뜻하게
辺り,주변
当たり前,당연한
当たる,맞다
あちこち,여기저기
扱う,취급하다
集まり,모임
当てる,맞추다
跡,흔적
穴,구멍
油,기름
脂,지방
誤り,실수
粗,거친
嵐,폭풍
争う,싸우다
新た,새로운
あらゆる,모든
表す,대표
現す,표현하다
著す,눈에 띄다
現れ,나타나다
現れる,나타나다
ありがとう,감사합니다
在る; 有る,있다; 있다
或,또는
あるいは,또는
アルバム,앨범
泡,거품
合わせる,맞추다
慌てる,당황하다
哀れ,불쌍한
案,안
案外,의외
暗記,암기
安定,안정
あんなに,그렇게
あんまり,너무 많이
胃,위
委員,위원
意外,의외
行き,가다
行き,가다
息,숨
勢い,기세
生き物,생물
いけない,하지 말라
医師,의사
意思,의사
意志,의지
維持,유지
意識,의식
異常,비정상
意地悪,악의
泉,분수
いずれ,어떤
以前,이전
板,판
偉大,위대한
抱く,껴안다
いたずら,장난
いただきます,받으세요
痛み,고통
至る,이르다
市,시
位置,위치
一時,임시
一度に,한 번에
市場,시장
いつか,언젠가
一家,가족
一種,일종
一瞬,순간
一生,평생
一層,한층 더
一体,일체
一致,일치
いつでも,언제든지
いつのまにか,언젠가
一般,일반
一方,한편
いつまでも,언제까지나
移動,이동
従兄弟,종형제
従姉妹,종자매
稲,벼
居眠り,졸음
命,생명
違反,위반
衣服,옷
居間,거실
今に,지금
今にも,지금도
イメージ,이미지
否,아니오
以来,이후
依頼,요청
いらいら,짜증
いらっしゃい,오세요
医療,의료
岩,바위
祝い,축하
祝う,축하하다
言わば,말하자면
いわゆる,이른바
インク,잉크
印刷,인쇄
印象,인상
引退,은퇴
インタビュー,인터뷰
引用,인용
ウイスキー,위스키
上,상단
魚,물고기
うがい,양치질
受け取る,받다
動かす,움직이다
兎,토끼
牛,소
失う,잃다
疑う,의심하다
宇宙,우주
討つ,토벌하다
撃つ,쏘다
うっかり,실망
映す,비추다
訴える,고소하다
写る,찍다
映る,비치다
うなる,으르렁
奪う,빼앗다
馬,말
生まれ,태어난
有無,유무
梅,매화
埋める,채우다
裏切る,배신하다
羨ましい,부러워
売れる,팔다
噂,소문
運,운
運転,운전
柄,무늬
永遠,영원
永久,영구
影響,영향
営業,영업
衛星,위성
栄養,영양
笑顔,미소
描く,그리기
餌,미끼
エネルギー,에너지
得る,얻다
得る,얻다
円,원
延期,연기
演技,연기
援助,원조
エンジン,엔진
演説,연설
演奏,연주
老い,늙은
追い付く,따라잡다
王,왕
追う,쫓다
応援,응원
王様,왕
王子,왕자
応じる,응하다
横断,횡단
終える,끝내다
大いに,매우
覆う,덮다
大家,대가
丘,언덕
沖,오키
奥,안쪽
贈る,주는
起こる,일어나다
押える,노루발
幼い,어린
収める,맞다
納める,납부하다
治める,치료하다
お辞儀,인사
お洒落,세련된
お喋り,말하기
汚染,오염
恐らく,아마도
恐れる,두려워하다
恐ろしい,무서운
教わる,가르치다
お互い,서로
穏やか,부드러운
男の人,남자 사람
大人しい,성인
劣る,열등하다
鬼,악마
帯,띠
お昼,점심
オフィス,사무실
溺れる,익사하다
お前,너
おめでとう,축하합니다
お目に掛かる,눈에 띄다
思い付く,떠오르다
思い出,추억
主に,주로
思わず,무심코
泳ぎ,수영
およそ,대략
及ぼす,미치다
下す,내리다
降ろす,내리다
卸す,도매하다
音,소리
恩,은
温暖,따뜻한
温度,온도
可,예
蚊,모기
課,과
カー,자동차
カード,카드
貝,조개
害,해
会員,회원
絵画,회화
海外,해외
会計,회계
解決,해결
会合,회의
外交,외교
開始,시작
解釈,해석
外出,외출
改善,개선
快適,편안함
回復,회복
飼う,기르다
帰す,돌아가다
代える,대체하다
替える,바꾸다
換える,바꾸다
反る,휘다
香り,향기
画家,화가
抱える,안다
価格,가격
化学,화학
輝く,빛나는
係,계
罹る,끌다
限る,제한하다
掻く,긁는
描く,그리기
嗅ぐ,냄새
家具,가구
学,학
額,이마
覚悟,각오
確実,확실
学者,학자
学習,학습
隠す,숨기다
拡大,확대
確認,확인
学問,학문
隠れる,숨기다
影,그림자
陰,그늘
欠ける,부족
加減,가감
過去,과거
籠,바구니
囲む,둘러싸다
火災,화재
重なる,중첩
重ねる,겹치다
飾り,장식
貸し,대여
菓子,과자
家事,가사
賢い,현명한
歌手,가수
数,수
稼ぐ,벌다
数える,세다
型,금형
肩,어깨
堅い,단단한
硬い,딱딱한
方々,사람들
片付く,정리하다
刀,검
語る,말하다
勝ち,승리
価値,가치
がっかり,실망
活気,활기찬
楽器,악기
学期,학기
活動,활동
活躍,활약
活用,활용
仮定,가정
過程,과정
課程,과정
悲しむ,슬픔
必ずしも,반드시
かなり,꽤
金,금
鐘,종
可能,가능
株,주식
被る,쓰다
我慢,인내
上,상단
神,신
雷,번개
髪の毛,머리카락
科目,과목
かもしれない,어쩌면
かゆい,가려움
歌謡,가요
空,하늘
殻,껍질
柄,무늬
刈る,깎다
河,강
皮,피부
革,가죽
可愛そう,귀여워
可愛らしい,귀엽다
乾かす,말리다
渇く,갈증
代る,대신하다
缶,캔
勘,감
考え,생각
感覚,감각
間隔,간격
観客,관객
環境,환경
歓迎,환영
観光,관광
観察,관찰
感じ,느낌
感謝,감사
患者,환자
勘定,계정
感情,감정
感じる,느끼다
感心,감성
関心,관심
関する,관련
完成,완성
完全,완전
乾燥,건조
感想,감상
感動,감동
監督,감독
管理,관리
完了,완료
関連,관련
議員,의원
記憶,기억
気温,기온
機械,기계
器械,계기
議会,의회
期間,기간
機関,기관
企業,기업
効く,효과
期限,마감
機嫌,기분
気候,기후
岸,해안
生地,직물
記事,기사
技師,기술자
記者,기자
傷,상처
期待,기대
気体,기체
帰宅,귀가
貴重,소중한
議長,의장
きちんと,제대로
きつい,힘든
気付く,알아차리다
気に入る,마음에 드는
記入,기입
記念,기념
機能,기능
気の毒,기독
寄付,기부
希望,희망
基本,기본
決まり,결정
気味,맛
奇妙,이상한
義務,의무
疑問,의문
逆,반전
キャプテン,캡틴
キャンプ,캠프
旧,구
級,급
球,구
休暇,휴가
休憩,휴식
急激,급격한
吸収,흡수
救助,구조
急速,급속
休息,휴식
急に,갑자기
給料,월급
器用,악기
教科書,교과서
競技,경기
行儀,행의
供給,공급
教授,교수
強調,강조
共通,공통
共同,공동
恐怖,공포
協力,협력
強力,강력
許可,허가
局,방송국
巨大,거대한
嫌う,싫어
霧,안개
切れ,깨진
切れる,끊다
記録,기록
議論,토론
金,금
銀,실버
禁煙,금연
金額,금액
金庫,금고
禁止,금지
金銭,금전
金属,금속
近代,현대
緊張,긴장
筋肉,근육
金融,금융
句,구
食う,먹다
偶然,우연히
臭い,냄새
鎖,사슬
腐る,썩다
癖,버릇
管,관
具体,구체적인
下り,다운
下る,내리다
苦痛,고통
