踏む,밟다
～区,～구
すっと,빨리
盗む,훔치다
大抵,대부분
とうとう,마침내
ガソリン,가솔린
鳴る,울다
しっかり,단단히
生きる,살다
苦い,쓴
沸く,끓는
意見,의견
やはり; やっぱり,역시; 역시
漫画,만화
ステレオ,스테레오
医学,의학
テキスト,텍스트
～月,~월
折る,접히다
～会,～회
うかがう,우카가
聞こえる,들리는
僕,나
必ず,반드시
壊す,깨다
怒る,화난
床屋,이발소
オートバイ,오토바이
運動,운동
止む,멈추다
もし,만약
表,표
大学生,대학생
運転手,운전자
予習,예습
心配,걱정
別,다른
非常に,매우
お宅,집
柔らかい,부드러운
拾う,데리러
～ございます,~ 있습니다
気,마음
比べる,비교하다
ほとんど,거의
つもり,생각
郊外,교외
だめ,안돼
売り場,판매장
正月,설날
規則,규칙
うん,그래
発音,발음
焼く,굽다
屋上,옥상
失礼,무례
ごみ,쓰레기
アフリカ,아프리카
点,포인트
一生懸命,열심히
今度,이번에
機会,기회
建てる,세우다
複雑,복잡한
彼,그
いらっしゃる,오세요
布団,이불
大事,소중한
贈り物,선물
泥棒,도둑
～製,~제
注意,주의
台風,태풍
日,일
～軒,～처마
そう,그래
通る,통과하다
過ぎる,지나가다
レポート; リポート,보고서; 리포트
葉,잎
必要,필요
課長,과장
地震,지진
すると,그러면
止める,멈추다
ガラス,유리
～学部,~학부
厳しい,힘든
エスカレーター,에스컬레이터
人口,인구
月,달
絹,실크
ちっとも,잠시
深い,깊은
壊れる,깨진
揺れる,흔들리는
落る,떨어지는
できるだけ,가능한 한
悲しい,슬픈
中学校,중학교
ガス,가스
祈る,기도하다
盛ん,활기찬
アルバイト,아르바이트
起こす,일으키다
致す,치다
噛む,씹다
赤ちゃん,아기
浅い,얕은
嘘,거짓말
小説,소설
親,부모
それに,게다가
西洋,서양
思う,생각하다
パート (タイム),파트(타임)
時代,시대
申し上げる,말씀드리다
～式,~식
出席,출석
～家,~집
迎える,맞이하다
触る,만지다
建て,건축
社長,사장
動物園,동물원
捕まえる,잡다
季節,계절
寄る,기다리다
決まる,결정
開く,열다
逃げる,도망
だから,그러니까
残念,불행
畳,다다미
丁寧,정중하다
地理,지리
さっき,아까
怖い,무서운
包む,싸다
なるべく,가능한 한
無理,무리
サンドイッチ,샌드위치
会議室,회의실
品物,물품
人形,인형
利用,사용
飾る,꾸미다
止める,멈추다
恥ずかしい,부끄러운
いくら～ても,아무리~
用事,용사
ビル,빌
けんかする,싸우다
頑張る,힘내다
投げる,던지다
故障,고장
力,힘
受ける,받다
気分,기분
間違える,실수하다
そんな,그런
星,별
場合,경우
やっと,마침내
足りる,충분하다
行う,할
ぶどう,포도
無くなる,사라진다
準備,준비
世界,세계
住所,주소
再来月,재래달
林,숲
倍,두 배
痩せる,마른다
線,선
戦争,전쟁
決める,결정하다
調べる,조사하다
寝坊,잠
パパ,아빠
光る,빛나다
夫,남편
雲,구름
坂,언덕
～(て) しまう,~(해) 버린다
飛行場,비행장
柔道,유도
決して,결코
事務所,사무실
連絡,연락
小学校,초등학교
客,고객
昔,옛날
美しい,아름다운
捨てる,버리다
なさる,하다
事,일
どんどん,점점
試合,경기
適当,적용 가능
素晴らしい,놀라운
美術館,미술관
文法,문법
終わり,끝
壁,벽
一度,한 번
お礼,감사
親切,친절한
知らせる,알리다
歯医者,치과 의사
熱心,열심
始める,시작하다
もらう,받다
泣く,울다
治る,치료하다
熱,열
お祭り,축제
水道,수도
匂い,냄새
ベル,벨
赤ん坊,아기
おかしい,이상한
事故,사고
変,이상하다
辞典,사전
残る,남다
立てる,세우다
くれる,준다
～員,~원
原因,원인
驚く,놀라운
いただく,받다
祖母,할머니
場所,위치
答,답
もちろん,물론
漬ける,절임
受付,접수
内,내
スクリーン,스크린
増える,증가하다
または,또는
けがする,다치다
以下,다음
選ぶ,선택
～ばかり,~만
心,마음
～だす,~다스
サラダ,샐러드
届ける,배달
挨拶,인사
景色,경치
確か,확실히
ステーキ,스테이크
食料品,식료품
森,숲
以内,이내
予定,약속
オーバー,오버
乾く,마르다
石,돌
思い出す,기억하다
踊る,춤추다
細かい,미세
塗る,칠하다
ご主人,남편
珍しい,특이한
用,용
公務員,공무원
お嬢さん,아가씨
用意,준비
探す,찾기
形,모양
運転,운전
すっかり,완전히
アナウンサー,아나운서
お土産,기념품
消しゴム,지우개
旅館,료칸
海岸,해안
寂しい,외로운
火,불
育てる,기르다
味噌,된장
お祝い,축하
乗り物,차량
案内,안내
