ああ,아(감탄)
会う,만나다
青,파랑
青い,푸른
赤,빨강
赤い,붉은
明るい,밝은
秋,가을
開く,열다
開ける,열다
上げる,올리다
朝,아침
朝御飯,아침밥
明後日,모레
足; 脚,발; 다리
明日,내일
あそこ,저기
遊ぶ,놀다
暖かい,따뜻한
頭,머리
新しい,새로운
あちら,저기
暑い,뜨거운
熱い,뜨거운
厚い,두꺼운
あっち,저기
後,이후에
あなた,당신
兄,오빠
姉,누나
アパート,아파트
あの,그
浴びる,목욕하다
危ない,위험하다
甘い,달콤한
余り,너무
雨,비
飴,사탕
洗う,씻다
在る,존재하다
有る,있다
歩く,걷다
あれ,저것
いい; よい,좋은; 좋은
いいえ,아니오
言う,말하다
家,집
いかが,어떠세요
行く,가다
いくつ,일부
いくら,몇
池,연못
医者,의사
椅子,의자
忙しい,바쁜
痛い,아프다
一,하나
一日,하루
一番,가장
いつ,언제
五日,5일
一緒,함께
五つ,5개
いつも,항상
犬,개
今,지금
意味,의미
妹,여동생
嫌,미움
入口,입구
居る,있다
要る,필요하다
入れる,넣다
色,칼라
色々,다양한
上,위
後ろ,뒤로
薄い,얇은
歌,노래
歌う,노래하다
うち,집
生まれる,태어나다
海,바다
売る,팔다
うるさい,시끄러운
上着,겉옷
絵,그림
映画,영화
映画館,영화관
英語,영어
ええ,그래
駅,역
エレベーター,엘리베이터
～円,~엔
鉛筆,연필
お～,존대하는 ~
美味しい,맛있는
多い,많은
大きい,큰
大きな,큰
大勢,많은
お母さん,엄마
お菓子,과자
お金,돈
起きる,일어나다
置く,놓다
奥さん,부인
お酒,술
お皿,접시
伯父; 叔父さん,백부; 삼촌
おじいさん,할아버지
教える,가르치다
押す,누르다
遅い,느린
お茶,차
お手洗い,화장실
お父さん,아빠
弟,동생
男,남자
男の子,소년
一昨日,그저께
おととし,재작년
大人,성인
お腹,배
同じ,같은
お兄さん,오빠
お姉さん,언니
伯母さん; 叔母さん,이모
おばあさん,할머니
お風呂,목욕
お弁当,도시락
覚える,기억하다
おまわりさん,경찰(친근하게 부르는 말)
重い,무거운
面白い,재미있는
泳ぐ,수영
降りる,내리다
終る,끝내다
音楽,음악
女,여자
女の子,소녀
～回,~회
～階,~층
外国,외국
外国人,외국인
会社,회사
階段,계단
買い物,쇼핑
買う,사다
返す,돌려주다,되돌리다
帰る,돌아가다
顔,얼굴
かかる,걸리다(시간, 돈이)
鍵,열쇠
書く,쓰다(글을)
学生,학생
～か月,~개월
掛ける,(안경) 쓰다, (벽에) 걸다
かける,(전화)걸다, 앉다
傘,우산
貸す,빌려주다
風,바람
風邪,감기
方,사람을 높여 부르는 말, 방법
家族,가족
片仮名,가타카나
～月,~월
学校,학교
カップ,컵
家庭,가정
角,구석
かばん,가방
花瓶,꽃병
かぶる,입다, (모자를) 쓰다
紙,종이
カメラ,카메라
火曜日,화요일
辛い,매운
体,몸
借りる,빌리다
～がる,~라고 느끼는
軽い,가벼운
カレー,카레
カレンダー,달력
川; 河,강
～側,~측
可愛い,귀엽다
漢字,한자
木,나무
黄色,황색
黄色い,노란색
消える,사라지다
聞く,듣다, 묻다
北,북쪽
ギター,기타
汚い,더러운
喫茶店,다방
切手,우표
切符,표
昨日,어제
九,9
牛肉,쇠고기
牛乳,우유
今日,오늘
教室,교실
兄弟,형제
去年,작년
嫌い,싫어
切る,자르다
着る,입다
綺麗,예쁜
キロ; キログラム,킬로그램
キロ; キロメートル,킬로미터
銀行,은행
金曜日,금요일
九,9
薬,약
下さい,제발
果物,과일
口,입
靴,신발
靴下,양말
国,국가
曇り,흐림
曇る,흐리다
暗い,어두운
～くらい; ぐらい,~정도; 정도
クラス,수업
グラム,그램
来る,온다
車,자동차
黒,검정색
黒い,검은색
警官,경찰
今朝,오늘 아침
消す,지우다
結構,상당히
結婚,결혼
月曜日,월요일
玄関,현관
元気,건강
～個,~개
五,5
～語,~어(언어)
公園,공원
交差点,교차로
紅茶,홍차
交番,파출소
声,목소리
コート,코트
コーヒー,커피
ここ,여기
午後,오후
九日,9일
九つ,9개
午前,오전
答える,대답하다
こちら,여기
こっち,이쪽
コップ,컵
今年,올해
言葉,단어
子供,어린이
この,이
御飯,밥
コピーする,복사
困る,곤란하다
これ,이것
～ころ; ～ごろ,～무렵,~쯤
今月,이달
今週,이번 주
こんな,이런
今晩,오늘밤
さあ,어서
～歳,～세(나이)
財布,지갑
魚,물고기
先,앞
咲く,개화하다
作文,작문
差す,펼치다
～冊,～권(책)
雑誌,잡지
砂糖,설탕
寒い,추운
さ来年,내후년
～さん,~씨
三,삼(3)
散歩,산책
四,사(4)
～時,~시(시간)
塩,소금
しかし,그러나
時間,시간
～時間,~시간
仕事,일
辞書,사전
静か,조용한
下,아래
七,칠(7)
質問,질문
自転車,자전거
自動車,자동차
死ぬ,죽다
字引,사전
自分,자신
閉まる,닫다
閉める,닫다
締める,조이다
じゃ; じゃあ,그럼
写真,사진
シャツ,셔츠
シャワー,샤워
十,십
～中,~중
～週間,~주간
授業,수업
宿題,숙제
上手,잘하다
丈夫,튼튼한
醤油,간장
食堂,식당
知る,알다
白,흰색
白い,하얗다
～人,~사람
新聞,신문
水曜日,수요일
吸う,흡입하다
スカート,스커트
好き,좋아
～すぎ,~ 너무
少ない,적은
すぐに,즉시
少し,조금
涼しい,시원한
～ずつ,~씩
ストーブ,스토브
スプーン,숟가락
スポーツ,스포츠
ズボン,바지
住む,살다(거주)
する,하다
座る,앉다
背,키, 등
生徒,학생
セーター,스웨터
石鹸,비누
背広,신사복
狭い,좁은
ゼロ,제로
千,천(1000)
先月,지난달
先週,지난주
先生,선생님
洗濯,세탁
全部,모두
そう; そうです,예; 그렇습니다.
掃除,청소
そうして; そして,그렇게; 그리고
そこ,거기
そちら,그쪽
そっち,그쪽
外,밖
その,그
そば,옆, 메밀
空,하늘
それ,그것
それから,그러고나서
それでは,그럼
～台,～대(자동차)
大学,대학
大使館,대사관
大丈夫,괜찮아
大好き,너무 좋아
大切,소중한
台所,부엌
大変,힘든
高い,높은
～だけ,~만(오직)
沢山,많은
タクシー,택시
出す,꺼내다
～たち,~들
立つ,서다
たて,세로
建物,건물
楽しい,즐거운
頼む,부탁하다
たばこ,담배
多分,아마
食べ物,음식
食べる,먹다
卵,계란
誰,누구
誰か,누군가
誕生日,생일
段々,점점
小さい,작은
小さな,작은
近い,가까운
違う,다르다,틀리다
近く,가까이
地下鉄,지하철
地図,지도
父,아버지
茶色,갈색
茶碗,찻잔
～中,~중(~하는 중)
丁度,정확히
ちょっと,조금
一日,1일
使う,사용하다
疲れる,피곤하다
次,다음
着く,도착하다
机,책상
作る,만들다
つける,붙이다
勤める,근무하다
つまらない,지루한
冷たい,차가운
強い,강한
手,손
テープ,테이프
テープレコーダー,테이프 레코더
テーブル,테이블
出かける,나가다
手紙,편지
できる,할 수 있다
出口,출구
テスト,테스트
では,그럼
デパート,백화점
でも,하지만
出る,나가다
テレビ,TV
天気,날씨
電気,전기
電車,기차
電話,전화
戸,문
～度,~도(온도),~번(발생)
ドア,문
トイレ,화장실
どう,어떻게
どうして,왜
どうぞ,부디
動物,동물
どうも,감사합니다,아무래도
十,십
遠い,멀다
十日,십일
～時,~때, ~시
時々,때때로
時計,시계
どこ,어디
所,장소
年,년
図書館,도서관
どちら,어느 쪽
どっち,어느 쪽
とても,매우
どなた,누구
隣,이웃
どの,어느
飛ぶ,날다
止まる,멈추다
友達,친구
土曜日,토요일
鳥,새
鶏肉,닭고기
取る,잡다
撮る,찍다
どれ,어떤
どんな,무슨
ない,아니
ナイフ,칼
中,중간, 안
長い,길다
鳴く,울다
無くす,잃다
なぜ,왜
夏,여름
夏休み,여름방학
～など,~ 등
七つ,일곱
何,무엇
七日,칠일
名前,이름
習う,배우다
並ぶ,늘어서다
並べる,늘어놓다
なる,되다
何～,무슨~
二,이(2)
にぎやか,활기찬
肉,고기
西,서쪽
～日,~일
日曜日,일요일
荷物,짐
ニュース,뉴스
庭,정원
～人,~인(사람 수)
脱ぐ,벗다
温い,미지근하다
ネクタイ,넥타이
猫,고양이
寝る,자다
～年,~년
ノート,노트
登る,오르다
飲み物,음료
飲む,마시다
乗る,타다
歯,치아
パーティー,파티
はい,예
～杯,~잔(컵 세는 단위)
灰皿,재떨이
入る,들어가다
葉書,엽서
はく,입다(주로 허리 아래에 입는 옷들)
箱,상자
橋,다리(교각)
箸,젓가락
始まる,시작하다
初め; 始め,처음; 시작
初めて,처음으로
走る,달리다
バス,버스,배스(목욕),베이스
バター,버터
二十歳,20세
働く,일하다
八,팔(8)
二十日,이십일
花,꽃
鼻,코
話,이야기
話す,말하다
母,어머니
早い,이른
速い,빠른
春,봄
貼る,붙이다
晴れ,맑음(날씨)
晴れる,맑다(날씨)
半,반(절반)
晩,밤
～番,～번(1번, 2번,...)
パン,빵
ハンカチ,손수건
番号,번호
晩御飯,저녁밥
半分,절반
東,동쪽
～匹,～마리
引く,당기다
弾く,연주하다
低い,낮은
飛行機,비행기
左,왼쪽
人,사람
一つ,하나
一月,1월
一人,혼자
暇,여가
百,백(100)
病院,병원
病気,아픈 상태(질병으로 인한)
平仮名,히라가나
昼,낮
昼御飯,점심밥
広い,넓은
フィルム,필름
封筒,봉투
プール,풀(수영장)
フォーク,포크
吹く,불다
服,옷
二つ,두개(2)
豚肉,돼지고기
二人,두 사람
二日,2일
太い,두꺼운
冬,겨울
降る,내리다(눈, 비)
古い,오래된
～分,~분(시간)
文章,문장
ページ,페이지
下手,서투른
ベッド,침대
ペット,애완동물
部屋,방
辺,근처,변(기하학)
ペン,펜
勉強,공부
便利,편리
帽子,모자
ボールペン,볼펜
外,나머지
ポケット,포켓
欲しい,원하는
ポスト,포스트
細い,얇은
ボタン,버튼
ホテル,호텔
本,책
～本,～권(책)
本棚,책장
本当,진짜
～枚,~장
毎朝,매일 아침
毎月,매월
毎週,매주
毎日,매일
毎年,매년
毎晩,매일 밤
前,이전, 앞
～前,~이전에
曲る,구부리다
まずい,맛없다
また,또
まだ,아직
町,마을
待つ,기다리다
まっすぐ,똑바로
マッチ,매치, 성냥
窓,창
丸い; 円い,둥근; 둥근
万,만(10000)
万年筆,만년필
磨く,닦다
右,오른쪽
短い,짧은
水,물
店,상점
見せる,보여주다
道,길
三日,삼일
三つ,3개
緑,녹색
皆さん,여러분
南,남쪽
耳,귀
見る,보다
みんな,모두
六日,6일
向こう,맞은 편, 저쪽
難しい,어려운
六つ,여섯개
村,마을
目,눈
メートル,미터
眼鏡,안경
もう,이미
木曜日,목요일
もしもし,여보세요
持つ,갖다
もっと,더
物,물건
門,문
問題,문제
～屋,～가게
八百屋,야채가게
野菜,야채
易しい,쉬운
安い,싸다(가격이)
休み,휴가
休む,쉬다
八つ,여덟
山,산
やる,하다
夕方,저녁
夕飯,저녁식사
郵便局,우체국
昨夜,어젯밤
有名,유명
雪,눈
ゆっくりと,천천히
八日,팔일
洋服,양복
よく,잘
横,가로
四日,4일
四つ,4개
呼ぶ,부르다
読む,읽다
夜,밤
弱い,약한
来月,다음 달
来週,다음주
来年,내년
ラジオ,라디오
ラジオカセ,라디오 카세트
りっぱ,훌륭한
留学生,유학생
両親,부모
料理,요리
旅行,여행
零,영(숫자 0)
冷蔵庫,냉장고
レコード,레코드(기록)
レストラン,레스토랑
練習,연습
廊下,복도
六,육
ワイシャツ,셔츠
若い,젊은
分かる,알다
忘れる,잊다
私,나
私,나
渡す,건네주다
渡る,건너다
悪い,나쁜
